日期,当日参与用户数,首次参与用户数,累计参与用户数,当日抽取次数,累计抽取次数,当日免费unlock抽取次数,累计免费unlock抽取次数,当日付费unlock抽取次数,累计付费unlock抽取次数,当日钻石unlock抽取次数,累计钻石unlock抽取次数,当日coin抽取次数,当日钻石总产生量,累计钻石总产生量,当日总消耗量,累计总消耗量,当日刮奖完成用户数,当日二次抽用户数,当日抽取等于10次用户数,当日抽取大于等于10次用户数,最终抽取等于10次用户数_按最后抽取日,最终抽取大于等于10次用户数_按最后抽取日,活动入口曝光UV_BigQuery,点击进入UV_BigQuery,活动入口曝光PV_BigQuery,点击进入PV_BigQuery,点击率CTR_BigQuery,首抽转化率_混合口径
2026-05-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-05-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0.0,
2026-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-05-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0.0,
2026-05-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0.0,
2026-05-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-05-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,6,1.0,0.0
2026-05-28,31,31,31,123,123,42,42,15,15,66,66,20,84100,84100,121500,121500,27,20,5,6,1,1,408,62,1925,149,0.152,0.5
2026-05-29,33,20,51,118,241,49,91,2,17,67,133,3,74300,158400,103500,225000,30,16,4,5,1,2,442,75,1841,129,0.1697,0.2667
2026-05-30,22,12,63,86,327,48,139,3,20,35,168,1,43600,202000,57000,282000,21,15,3,3,0,0,440,47,2025,71,0.1068,0.2553
2026-05-31,16,5,68,74,401,42,181,2,22,30,198,0,27900,229900,48000,330000,16,11,4,4,0,1,420,39,1795,74,0.0929,0.1282
2026-06-01,20,9,77,75,476,49,230,3,25,23,221,2,21700,251600,39000,369000,18,11,3,3,1,1,455,43,2143,61,0.0945,0.2093
2026-06-02,22,9,86,80,556,41,271,11,36,28,249,6,37900,289500,58500,427500,19,14,4,4,0,1,436,40,1934,82,0.0917,0.225
2026-06-03,21,6,92,78,634,46,317,2,38,30,279,2,69600,359100,48000,475500,20,11,5,5,2,2,481,43,2539,68,0.0894,0.1395
2026-06-04,34,17,109,119,753,68,385,11,49,40,319,2,50050,409150,76500,552000,33,18,4,4,1,1,431,55,1973,91,0.1276,0.3091
2026-06-05,34,9,118,120,873,80,465,4,53,36,355,5,42950,452100,60000,612000,31,23,2,2,1,2,476,68,2027,115,0.1429,0.1324
2026-06-06,26,11,129,90,963,62,527,2,55,26,381,1,36200,488300,42000,654000,25,17,3,3,0,1,420,51,1872,88,0.1214,0.2157
2026-06-07,31,13,142,123,1086,67,594,11,66,45,426,2,53750,542050,84000,738000,29,19,2,3,1,3,397,49,1989,87,0.1234,0.2653
2026-06-08,27,10,152,91,1177,68,662,2,68,21,447,0,33500,575550,34500,772500,27,20,2,2,2,4,467,45,2232,73,0.0964,0.2222
2026-06-09,33,13,165,103,1280,64,726,3,71,36,483,7,42950,618500,58500,831000,30,21,3,3,1,9,466,56,2199,80,0.1202,0.2321
2026-06-10,30,8,173,94,1374,65,791,1,72,28,511,5,21800,640300,43500,874500,28,20,2,2,0,10,437,56,1878,90,0.1281,0.1429
2026-06-11,6,3,176,25,1399,14,805,3,75,8,519,0,16500,656800,16500,891000,6,5,1,1,1,4,82,11,374,29,0.1341,0.2727
