corrected_draw_row_id,draw_id,real_acquire_time,real_apply_time,event_date,user_id,source,平台,registration_date,App版本,渠道,新老用户,付费状态,提现系统版本,unlock_type,unlock_type_original,apply_currency_type,apply_type_original,denomination,diamond,draw_count,unlock_draw_count,diamond_generated,total_consumption,diamond_consumed,coin_draw_count,scratch_completed,free_balance_consumed,coin_real_log_time,diamond_real_log_time,real_log_time
1,786583,2026-05-28 05:00:54.617,,2026-05-28,88107506,lucky_scratch_h5,Unknown,,Unknown,Unknown,Old User,Non-paid,未知提现版本,diamond_unlock,diamond_unlock,coin,coin,160,1600,1,1,1600,1500,1600,1,False,,,2026-05-28 05:00:54.578,2026-05-28 05:00:54.578
2,786585,2026-05-28 05:01:02.443,,2026-05-28,88107506,lucky_scratch_h5,Unknown,,Unknown,Unknown,Old User,Non-paid,未知提现版本,diamond_unlock,diamond_unlock,coin,coin,0,0,1,1,0,1500,0,1,False,,,2026-05-28 05:01:02.405,2026-05-28 05:01:02.405
3,786586,2026-05-28 05:01:06.347,,2026-05-28,88107506,lucky_scratch_h5,Unknown,,Unknown,Unknown,Old User,Non-paid,未知提现版本,diamond_unlock,diamond_unlock,coin,coin,0,0,1,1,0,1500,0,1,False,,,2026-05-28 05:01:06.307,2026-05-28 05:01:06.307
4,786592,2026-05-28 05:10:55.269,2026-05-28 05:11:25.515,2026-05-28,53871359,lucky_scratch_h5,Android,2026-04-22,2.0.03,(direct),Old User,Non-paid,钻石提现版本,free_unlock,free_unlock,diamond,diamond,10,100,1,1,100,0,100,0,True,100.0,2026-05-28 05:10:55.221,,2026-05-28 05:10:55.221
5,786594,2026-05-28 05:14:13.400,2026-05-28 05:14:27.009,2026-05-28,53871359,lucky_scratch_h5,Android,2026-04-22,2.0.03,(direct),Old User,Non-paid,钻石提现版本,free_unlock,free_unlock,diamond,diamond,10,100,1,1,100,0,100,0,True,100.0,2026-05-28 05:14:13.373,,2026-05-28 05:14:13.373
6,786596,2026-05-28 05:15:43.248,2026-05-28 05:15:52.381,2026-05-28,53871359,lucky_scratch_h5,Android,2026-04-22,2.0.03,(direct),Old User,Non-paid,钻石提现版本,free_unlock,free_unlock,diamond,diamond,10,100,1,1,100,0,100,0,True,100.0,2026-05-28 05:15:43.217,,2026-05-28 05:15:43.217
7,786610,2026-05-28 05:24:27.465,2026-05-28 05:24:35.082,2026-05-28,65492127,lucky_scratch_h5,Unknown,,Unknown,Unknown,Old User,Non-paid,未知提现版本,diamond_unlock,diamond_unlock,diamond,diamond,90,900,1,1,900,1500,900,0,True,,,2026-05-28 05:24:27.416,2026-05-28 05:24:27.416
8,786622,2026-05-28 05:34:13.385,2026-05-28 05:56:44.293,2026-05-28,88832065,lucky_scratch_h5,Android,,2.0.02,(direct),Old User,Non-paid,未知提现版本,diamond_unlock,diamond_unlock,diamond,diamond,160,1600,1,1,1600,1500,1600,0,True,,,2026-05-28 05:34:13.354,2026-05-28 05:34:13.354
9,786695,2026-05-28 05:57:07.325,,2026-05-28,22100626,lucky_scratch_h5,Unknown,,Unknown,Unknown,Old User,Non-paid,未知提现版本,diamond_unlock,diamond_unlock,coin,coin,160,1600,1,1,1600,1500,1600,1,False,,,2026-05-28 05:57:07.288,2026-05-28 05:57:07.288
10,786696,2026-05-28 05:57:15.683,,2026-05-28,22100626,lucky_scratch_h5,Unknown,,Unknown,Unknown,Old User,Non-paid,未知提现版本,free_unlock,free_unlock,coin,coin,10,100,1,1,100,0,100,1,False,100.0,2026-05-28 05:57:15.640,,2026-05-28 05:57:15.640
