user_id,total_draws,completed_draws,first_draw_time,last_draw_time,free_unlock_draws,paid_unlock_draws,diamond_unlock_draws,coin_draws,diamond_generated,total_consumption,平台,App版本,渠道,新老用户,付费状态,提现系统版本,scratch_completed_user,repeat_draw_user,draw_eq_10_user,draw_ge_10_user,draw_count_bucket
10419159,18,18,2026-06-04 15:05:00.768,2026-06-10 17:27:48.223,18,0,0,0,2250,0,Android,2.0.06,google-play,Old User,Non-paid,钻石提现版本,True,True,False,True,10+
10590308,1,1,2026-06-05 10:57:26.696,2026-06-05 10:57:26.696,0,0,1,0,900,1500,Android,2.0.03,(direct),Old User,Non-paid,钻石提现版本,True,False,False,False,1
11019977,2,2,2026-06-09 05:40:46.932,2026-06-09 05:41:29.277,2,0,0,0,300,0,Android,2.0.06,google-play,New User,Non-paid,钻石提现版本,True,True,False,False,2-3
11169155,41,41,2026-06-01 11:40:43.165,2026-06-11 02:34:16.036,30,0,11,0,16400,16500,Android,2.0.03,(direct),Old User,Non-paid,钻石提现版本,True,True,False,True,10+
11613118,1,1,2026-06-08 09:43:30.195,2026-06-08 09:43:30.195,1,0,0,0,50,0,Android,2.0.06,google-play,Old User,Non-paid,钻石提现版本,True,False,False,False,1
11700202,10,10,2026-05-29 04:31:29.448,2026-06-01 11:48:52.350,0,0,10,0,2000,15000,Android,2.0.02,getit,Old User,Non-paid,钻石提现版本,True,True,True,True,10+
11721121,2,2,2026-06-07 07:42:12.229,2026-06-10 02:31:24.350,0,0,2,0,1200,3000,Android,2.0.06,(direct),New User,Non-paid,钻石提现版本,True,True,False,False,2-3
12353014,5,5,2026-05-30 11:54:06.970,2026-06-10 09:59:26.560,0,0,5,0,8900,7500,Android,2.0.02,google-play,Old User,Non-paid,钻石提现版本,True,True,False,False,4-5
13192489,3,3,2026-05-29 00:38:13.910,2026-06-02 07:24:50.601,3,0,0,0,300,0,Android,2.0.01,(direct),Old User,Non-paid,钻石提现版本,True,True,False,False,2-3
14477756,1,1,2026-06-06 20:24:02.156,2026-06-06 20:24:02.156,0,0,1,0,900,1500,iOS,1.9.73,(direct),Old User,Non-paid,钻石提现版本,True,False,False,False,1
14800807,1,1,2026-06-04 13:59:57.259,2026-06-04 13:59:57.259,0,0,1,0,700,1500,Android,2.0.06,google-play,Old User,Non-paid,钻石提现版本,True,False,False,False,1
14979895,1,1,2026-06-08 13:28:32.818,2026-06-08 13:28:32.818,0,0,1,0,0,1500,Android,2.0.05,(direct),Old User,Non-paid,钻石提现版本,True,False,False,False,1
15835142,1,0,2026-06-01 21:17:05.878,2026-06-01 21:17:05.878,1,0,0,1,100,0,Unknown,Unknown,Unknown,Old User,Non-paid,未知提现版本,False,False,False,False,1
15975490,20,20,2026-06-03 10:53:25.561,2026-06-10 03:39:56.315,0,0,20,0,26400,30000,Android,2.0.05,frog,Old User,Non-paid,钻石提现版本,True,True,False,True,10+
16094557,1,1,2026-05-30 10:51:17.858,2026-05-30 10:51:17.858,1,0,0,0,100,0,Unknown,Unknown,Unknown,Old User,Non-paid,未知提现版本,True,False,False,False,1
17210548,10,10,2026-06-11 02:03:31.674,2026-06-11 02:17:04.624,4,3,3,0,8850,9000,iOS,1.9.76,(direct),Old User,Paid,钻石提现版本,True,True,True,True,10+
17860161,7,7,2026-05-28 06:05:26.484,2026-06-10 11:51:32.906,0,3,4,0,1000,10500,Android,2.0.02,google-play,Old User,Non-paid,钻石提现版本,True,True,False,False,6-9
18113153,1,1,2026-06-04 21:25:54.662,2026-06-04 21:25:54.662,1,0,0,0,200,0,Android,2.0.06,(direct),Old User,Non-paid,钻石提现版本,True,False,False,False,1
18259927,1,1,2026-06-04 19:49:36.419,2026-06-04 19:49:36.419,0,0,1,0,700,1500,Android,2.0.05,(direct),New User,Non-paid,钻石提现版本,True,False,False,False,1
18451046,1,1,2026-06-09 10:20:06.891,2026-06-09 10:20:06.891,0,1,0,0,700,1500,Android,2.0.06,(direct),Old User,Non-paid,钻石提现版本,True,False,False,False,1
18703405,3,0,2026-06-10 07:22:11.826,2026-06-10 07:24:08.764,3,0,0,3,400,0,Android,2.0.02,(direct),Old User,Non-paid,钻石提现版本,False,True,False,False,2-3
18863158,2,0,2026-06-02 03:17:00.894,2026-06-02 03:17:23.691,2,0,0,2,200,0,Android,1.9.99,(direct),Old User,Non-paid,钻石提现版本,False,True,False,False,2-3
19778432,1,1,2026-06-04 06:23:24.423,2026-06-04 06:23:24.423,1,0,0,0,100,0,Android,2.0.06,frog,Old User,Non-paid,钻石提现版本,True,False,False,False,1
19998256,15,15,2026-05-29 06:47:08.260,2026-06-10 17:19:25.867,15,0,0,0,2600,0,Android,2.0.03,(direct),Old User,Non-paid,钻石提现版本,True,True,False,True,10+
20053640,2,2,2026-06-04 12:25:14.439,2026-06-07 10:59:32.107,1,1,0,0,100,1500,Android,2.0.03,(direct),Old User,Non-paid,钻石提现版本,True,True,False,False,2-3
20377032,1,1,2026-05-29 19:26:44.283,2026-05-29 19:26:44.283,1,0,0,0,100,0,Android,2.0.03,google-play,New User,Paid,钻石提现版本,True,False,False,False,1
21368443,4,4,2026-05-31 12:23:37.004,2026-06-09 16:58:17.722,3,0,1,0,250,1500,Android,2.0.03,(direct),Old User,Non-paid,钻石提现版本,True,True,False,False,4-5
21449129,3,3,2026-06-08 16:41:03.506,2026-06-08 16:45:10.282,3,0,0,0,700,0,Android,2.0.01,google-play,Old User,Non-paid,钻石提现版本,True,True,False,False,2-3
21941216,5,5,2026-06-10 03:23:07.297,2026-06-10 03:23:07.389,0,0,5,0,4000,7500,Android,2.0.06,google,Old User,Non-paid,钻石提现版本,True,True,False,False,4-5
22009255,5,5,2026-06-05 11:08:06.376,2026-06-05 19:26:07.714,5,0,0,0,800,0,Android,2.0.05,google-play,Old User,Non-paid,钻石提现版本,True,True,False,False,4-5
22060507,5,5,2026-05-29 14:41:56.133,2026-05-29 14:41:56.218,0,0,5,0,7500,7500,Android,2.0.03,google-play,Old User,Non-paid,钻石提现版本,True,True,False,False,4-5
22100626,10,3,2026-05-28 05:57:07.325,2026-05-28 15:54:52.081,6,0,4,7,8000,6000,Unknown,Unknown,Unknown,Old User,Non-paid,未知提现版本,True,True,True,True,10+
23659463,1,1,2026-06-04 23:17:17.739,2026-06-04 23:17:17.739,1,0,0,0,150,0,Android,2.0.02,(direct),Old User,Non-paid,钻石提现版本,True,False,False,False,1
24122391,12,12,2026-05-28 06:12:54.156,2026-06-09 23:38:41.776,1,0,11,0,8400,16500,iOS,1.9.74,(direct),Old User,Non-paid,钻石提现版本,True,True,False,True,10+
24617638,10,10,2026-06-07 05:06:31.757,2026-06-07 05:19:56.231,0,0,10,0,6500,15000,iOS,1.9.75,(direct),Old User,Non-paid,钻石提现版本,True,True,True,True,10+
25394568,5,5,2026-06-04 16:02:03.310,2026-06-05 08:32:17.250,2,0,3,0,3050,4500,Android,2.0.05,(direct),Old User,Paid,钻石提现版本,True,True,False,False,4-5
25621462,11,11,2026-05-28 12:48:03.874,2026-06-05 09:07:31.085,0,0,11,0,13200,16500,Android,2.0.03,google-play,Old User,Non-paid,钻石提现版本,True,True,False,True,10+
27222100,3,3,2026-05-30 08:57:11.684,2026-05-30 08:58:44.315,0,0,3,0,5100,4500,Android,2.0.03,google-play,New User,Non-paid,钻石提现版本,True,True,False,False,2-3
27835983,3,3,2026-05-30 07:41:36.921,2026-05-30 07:44:28.792,2,0,1,0,700,1500,Android,2.0.02,getit,Old User,Non-paid,钻石提现版本,True,True,False,False,2-3
28046192,1,1,2026-06-04 06:49:20.251,2026-06-04 06:49:20.251,0,1,0,0,0,1500,iOS,1.9.75,(direct),New User,Non-paid,钻石提现版本,True,False,False,False,1
29996427,14,14,2026-05-29 04:12:10.696,2026-06-09 08:13:13.503,13,0,1,0,2250,1500,Android,2.0.03,(direct),Old User,Non-paid,钻石提现版本,True,True,False,True,10+
30217484,48,48,2026-05-28 19:24:13.860,2026-06-09 18:54:59.919,0,0,48,0,65300,72000,iOS,1.9.74,(direct),Old User,Non-paid,钻石提现版本,True,True,False,True,10+
